id,customer_id,merchant_id,status,created_at,updated_at
1,1,26,shipped,2012-03-25 09:54:09 UTC,2012-03-25 09:54:09 UTC
2,1,75,shipped,2012-03-12 05:54:09 UTC,2012-03-12 05:54:09 UTC
3,1,78,shipped,2012-03-10 00:54:09 UTC,2012-03-10 00:54:09 UTC
4,1,33,shipped,2012-03-24 15:54:10 UTC,2012-03-24 15:54:10 UTC
5,1,41,shipped,2012-03-07 19:54:10 UTC,2012-03-07 19:54:10 UTC
6,1,76,shipped,2012-03-09 01:54:10 UTC,2012-03-09 01:54:10 UTC
7,1,44,shipped,2012-03-07 21:54:10 UTC,2012-03-07 21:54:10 UTC
8,1,38,shipped,2012-03-13 16:54:10 UTC,2012-03-13 16:54:10 UTC
9,2,27,shipped,2012-03-07 12:54:10 UTC,2012-03-07 12:54:10 UTC
10,3,86,shipped,2012-03-06 21:54:10 UTC,2012-03-06 21:54:10 UTC
11,3,62,shipped,2012-03-08 20:54:10 UTC,2012-03-08 20:54:10 UTC
12,3,8,shipped,2012-03-21 13:54:10 UTC,2012-03-21 13:54:10 UTC
13,3,34,shipped,2012-03-10 10:54:10 UTC,2012-03-10 10:54:10 UTC
14,4,44,shipped,2012-03-26 06:54:10 UTC,2012-03-26 06:54:10 UTC
15,4,84,shipped,2012-03-26 07:54:10 UTC,2012-03-26 07:54:10 UTC
16,4,27,shipped,2012-03-12 03:54:10 UTC,2012-03-12 03:54:10 UTC
17,4,14,shipped,2012-03-13 07:54:10 UTC,2012-03-13 07:54:10 UTC
18,4,53,shipped,2012-03-07 10:54:10 UTC,2012-03-07 10:54:10 UTC
19,4,83,shipped,2012-03-19 13:54:10 UTC,2012-03-19 13:54:10 UTC
20,4,10,shipped,2012-03-22 08:54:10 UTC,2012-03-22 08:54:10 UTC
21,4,90,shipped,2012-03-13 04:54:10 UTC,2012-03-13 04:54:10 UTC
22,7,79,shipped,2012-03-15 14:54:10 UTC,2012-03-15 14:54:10 UTC
23,7,91,shipped,2012-03-16 13:54:11 UTC,2012-03-16 13:54:11 UTC
24,7,18,shipped,2012-03-17 08:54:11 UTC,2012-03-17 08:54:11 UTC
25,7,86,shipped,2012-03-27 07:54:11 UTC,2012-03-27 07:54:11 UTC
26,7,28,shipped,2012-03-21 11:54:11 UTC,2012-03-21 11:54:11 UTC
27,7,63,shipped,2012-03-12 04:54:11 UTC,2012-03-12 04:54:11 UTC
28,7,99,shipped,2012-03-19 18:54:11 UTC,2012-03-19 18:54:11 UTC
29,7,1,shipped,2012-03-25 13:54:11 UTC,2012-03-25 13:54:11 UTC
30,8,28,shipped,2012-03-12 07:54:11 UTC,2012-03-12 07:54:11 UTC
31,8,52,shipped,2012-03-23 16:54:11 UTC,2012-03-23 16:54:11 UTC
32,8,85,shipped,2012-03-13 06:54:11 UTC,2012-03-13 06:54:11 UTC
33,9,43,shipped,2012-03-15 18:54:11 UTC,2012-03-15 18:54:11 UTC
34,9,98,shipped,2012-03-18 19:54:11 UTC,2012-03-18 19:54:11 UTC
35,9,60,shipped,2012-03-21 16:54:11 UTC,2012-03-21 16:54:11 UTC
36,9,96,shipped,2012-03-16 10:54:11 UTC,2012-03-16 10:54:11 UTC
37,9,39,shipped,2012-03-13 19:54:11 UTC,2012-03-13 19:54:11 UTC
38,9,73,shipped,2012-03-10 04:54:11 UTC,2012-03-10 04:54:11 UTC
39,9,41,shipped,2012-03-22 01:54:11 UTC,2012-03-22 01:54:11 UTC
40,10,92,shipped,2012-03-14 21:54:11 UTC,2012-03-14 21:54:11 UTC
41,10,93,shipped,2012-03-21 21:54:11 UTC,2012-03-21 21:54:11 UTC
42,10,55,shipped,2012-03-19 05:54:11 UTC,2012-03-19 05:54:11 UTC
43,10,58,shipped,2012-03-17 02:54:11 UTC,2012-03-17 02:54:11 UTC
44,10,4,shipped,2012-03-27 11:54:11 UTC,2012-03-27 11:54:11 UTC
45,10,2,shipped,2012-03-18 09:54:11 UTC,2012-03-18 09:54:11 UTC
46,10,86,shipped,2012-03-15 20:54:11 UTC,2012-03-15 20:54:11 UTC
47,10,47,shipped,2012-03-27 07:54:12 UTC,2012-03-27 07:54:12 UTC
48,11,56,shipped,2012-03-16 05:54:12 UTC,2012-03-16 05:54:12 UTC
49,11,62,shipped,2012-03-18 05:54:12 UTC,2012-03-18 05:54:12 UTC
50,11,29,shipped,2012-03-21 13:54:12 UTC,2012-03-21 13:54:12 UTC
51,11,51,shipped,2012-03-16 12:54:12 UTC,2012-03-16 12:54:12 UTC
52,12,87,shipped,2012-03-08 21:54:12 UTC,2012-03-08 21:54:12 UTC
53,12,34,shipped,2012-03-24 22:54:12 UTC,2012-03-24 22:54:12 UTC
54,12,11,shipped,2012-03-27 07:54:12 UTC,2012-03-27 07:54:12 UTC
55,12,99,shipped,2012-03-25 23:54:12 UTC,2012-03-25 23:54:12 UTC
56,12,32,shipped,2012-03-24 00:54:12 UTC,2012-03-24 00:54:12 UTC
57,12,73,shipped,2012-03-21 10:54:12 UTC,2012-03-21 10:54:12 UTC
58,12,71,shipped,2012-03-17 13:54:12 UTC,2012-03-17 13:54:12 UTC
59,12,92,shipped,2012-03-14 04:54:12 UTC,2012-03-14 04:54:12 UTC
60,12,52,shipped,2012-03-12 13:54:12 UTC,2012-03-12 13:54:12 UTC
61,13,76,shipped,2012-03-09 05:54:12 UTC,2012-03-09 05:54:12 UTC
62,13,97,shipped,2012-03-23 06:54:12 UTC,2012-03-23 06:54:12 UTC
